"State","Body","District","Year","Term","Party","Prvote","Propvote","PrMargin","ThreePVote"
"Indiana","House",64,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",65,2016,NA,"Republican",18290,10871,"25.44%",0
"Indiana","House",66,2016,NA,"Democrat",15939,10484,"20.64%",0
"Indiana","House",67,2016,NA,"Republican",20492,6101,"54.12%",0
"Indiana","House",68,2016,NA,"Republican",22451,7457,"50.13%",0
"Indiana","House",69,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",70,2016,NA,"Republican",20966,11020,"31.09%",0
"Indiana","House",71,2016,NA,"Democrat",18728,0,"80.36%",4578
"Indiana","House",72,2016,NA,"Republican",18092,13511,"14.5%",0
"Indiana","House",73,2016,NA,"Republican",18722,6992,"45.62%",0
"Indiana","House",74,2016,NA,"Republican",16538,11156,"19.43%",0
"Indiana","House",75,2016,NA,"Republican",21146,9429,"38.32%",0
"Indiana","House",76,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",77,2016,NA,"Democrat",12616,8614,"18.85%",0
"Indiana","House",78,2016,NA,"Republican",19208,9704,"32.87%",0
"Indiana","House",79,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",80,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",81,2016,NA,"Republican",13925,8938,"21.81%",0
"Indiana","House",82,2016,NA,"Republican",17833,5863,"50.51%",0
"Indiana","House",83,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",84,2016,NA,"Republican",20559,10544,"32.2%",0
"Indiana","House",85,2016,NA,"Republican",19198,7006,"46.53%",0
"Indiana","House",86,2016,NA,"Democrat",22285,12049,"28.57%",1488
"Indiana","House",87,2016,NA,"Democrat",17485,15982,"4.49%",0
"Indiana","House",88,2016,NA,"Republican",24550,13059,"30.55%",0
"Indiana","House",89,2016,NA,"Republican",13683,11367,"9.25%",0
"Indiana","House",90,2016,NA,"Republican",19019,9515,"31.81%",1348
"Indiana","House",91,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",92,2016,NA,"Democrat",14000,8973,"21.88%",0
"Indiana","House",93,2016,NA,"Republican",18407,8923,"34.7%",0
"Indiana","House",94,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",95,2016,NA,"Democrat",18044,0,"87.24%",2640
"Indiana","House",96,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",97,2016,NA,"Democrat",9834,6300,"21.9%",0
"Indiana","House",98,2016,NA,"Democrat",16354,3747,"62.72%",0
"Indiana","House",99,2016,NA,"Democrat",0,0,"Unopposed",0
"Indiana","House",100,2016,NA,"Democrat",14110,6894,"34.36%",0
